Timestamp;Nome Modulo;ID; Byte 0 e 1;Byte 1 e 2;Byte 2 e 3;Byte 3 e 4;
0.000; Dynamics module data; 0x11;0000;5701;0000;10801
0.000; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
0.000; Thermal sensor module; 0x21;25201;21503;0802;21400
0.000; Thermal sensor module; 0x22;9503;4502;19303;23600
0.050; Dynamics module data; 0x11;0000;18300;0000;3501
0.050; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
0.050; Thermal sensor module; 0x21;20002;16503;13402;10401
0.050; Thermal sensor module; 0x22;6002;7800;22700;6202
0.100; Dynamics module data; 0x11;0000;23700;0000;16601
0.100; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
0.100; Thermal sensor module; 0x21;9203;5103;15902;13001
0.100; Thermal sensor module; 0x22;21100;23900;1301;11303
0.150; Dynamics module data; 0x11;0000;10801;0000;2301
0.150; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
0.150; Thermal sensor module; 0x21;10601;10001;24402;3103
0.150; Thermal sensor module; 0x22;14900;11800;24700;12400
0.200; Dynamics module data; 0x11;0000;23800;0000;21800
0.200; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
0.200; Thermal sensor module; 0x21;24200;11100;21400;10203
0.200; Thermal sensor module; 0x22;6001;2300;0200;25102
0.250; Dynamics module data; 0x11;0000;19701;0000;20401
0.250; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
0.250; Thermal sensor module; 0x21;23700;4703;18202;10700
0.250; Thermal sensor module; 0x22;24902;8702;15100;16403
0.300; Dynamics module data; 0x11;0000;15600;0000;12600
0.300; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
0.300; Thermal sensor module; 0x21;12500;21901;21302;13103
0.300; Thermal sensor module; 0x22;16402;21900;11103;21900
0.350; Dynamics module data; 0x11;0000;13301;0000;19100
0.350; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
0.350; Thermal sensor module; 0x21;7402;17402;8302;9102
0.350; Thermal sensor module; 0x22;10300;1603;10803;7703
0.400; Dynamics module data; 0x11;0000;16701;0000;13901
0.400; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
0.400; Thermal sensor module; 0x21;6903;23102;13100;11203
0.400; Thermal sensor module; 0x22;0301;2001;5403;14400
0.450; Dynamics module data; 0x11;0000;24401;0000;20700
0.450; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
0.450; Thermal sensor module; 0x21;11903;0101;18100;1600
0.450; Thermal sensor module; 0x22;0001;23500;9400;24801
0.500; Dynamics module data; 0x11;0000;6800;0000;18801
0.500; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
0.500; Thermal sensor module; 0x21;19402;21902;22501;9400
0.500; Thermal sensor module; 0x22;11103;17100;2100;15500
0.550; Dynamics module data; 0x11;0000;11700;0000;5901
0.550; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
0.550; Thermal sensor module; 0x21;1503;8001;5800;20102
0.550; Thermal sensor module; 0x22;2702;11103;23602;6102
0.600; Dynamics module data; 0x11;0000;21700;0000;10701
