Timestamp;Nome Modulo;ID;Mensagem;;;;;;;
0.000; Dynamics module data; 0x11;;0;;18000;;0;;1801
0.000; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
0.000; Thermal sensor module; 0x21;;22601;;21300;;1200;;10203
0.000; Thermal sensor module; 0x22;;12601;;13402;;13403;;25001
0.050; Dynamics module data; 0x11;;0;;10400;;0;;23301
0.050; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
0.050; Thermal sensor module; 0x21;;8701;;5201;;1603;;9801
0.050; Thermal sensor module; 0x22;;1903;;10303;;16200;;21900
0.100; Dynamics module data; 0x11;;0;;23801;;0;;2500
0.100; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
0.100; Thermal sensor module; 0x21;;5002;;20800;;4403;;15702
0.100; Thermal sensor module; 0x22;;17301;;7602;;2101;;22203
0.150; Dynamics module data; 0x11;;0;;13501;;0;;900
0.150; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
0.150; Thermal sensor module; 0x21;;3200;;16303;;2900;;1602
0.150; Thermal sensor module; 0x22;;3800;;21600;;20400;;21803
0.200; Dynamics module data; 0x11;;0;;1401;;0;;22300
0.200; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
0.200; Thermal sensor module; 0x21;;15103;;21200;;23302;;24401
0.200; Thermal sensor module; 0x22;;1300;;6002;;4502;;8201
0.250; Dynamics module data; 0x11;;0;;12400;;0;;19800
0.250; Dynamics module sensor errors; 0x12;;100;;100;;100;;100
0.250; Thermal sensor module; 0x21;;6700;;7003;;18801;;15301
0.250; Thermal sensor module; 0x22;;19900;;24801;;8500;;22900
0.300; Dynamics module data; 0x11;;0;;4700;;0;;19200
0.300; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
0.300; Thermal sensor module; 0x21;;6501;;4100;;13202;;1002
0.300; Thermal sensor module; 0x22;;22403;;24602;;15300;;9402
0.350; Dynamics module data; 0x11;;0;;1800;;0;;8900
0.350; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
0.350; Thermal sensor module; 0x21;;11802;;8602;;9302;;6201
0.350; Thermal sensor module; 0x22;;19800;;4601;;17302;;14902
0.400; Dynamics module data; 0x11;;0;;5201;;0;;8200
0.400; Dynamics module sensor errors; 0x12;;100;;100;;100;;100
0.400; Thermal sensor module; 0x21;;11201;;8600;;18101;;23902
0.400; Thermal sensor module; 0x22;;13303;;16901;;15901;;23500
0.450; Dynamics module data; 0x11;;0;;8601;;0;;5800
0.450; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
0.450; Thermal sensor module; 0x21;;22702;;7402;;15901;;3803
0.450; Thermal sensor module; 0x22;;22701;;6503;;5900;;9702
0.500; Dynamics module data; 0x11;;0;;14801;;0;;13101
0.500; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
0.500; Thermal sensor module; 0x21;;2800;;17203;;23500;;13103
0.500; Thermal sensor module; 0x22;;2800;;23102;;10300;;13603
0.550; Dynamics module data; 0x11;;0;;12000;;0;;5201
0.550; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
0.550; Thermal sensor module; 0x21;;803;;14800;;5902;;102
0.550; Thermal sensor module; 0x22;;11003;;16302;;13603;;15301
0.600; Dynamics module data; 0x11;;0;;18601;;0;;12400
0.600; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
0.600; Thermal sensor module; 0x21;;7701;;16300;;22201;;14303
0.600; Thermal sensor module; 0x22;;3803;;18202;;8200;;14103
0.650; Dynamics module data; 0x11;;0;;14100;;0;;2601
0.650; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
0.650; Thermal sensor module; 0x21;;19100;;8202;;23201;;7903
0.650; Thermal sensor module; 0x22;;21502;;3401;;6701;;1300
0.700; Dynamics module data; 0x11;;0;;23601;;0;;10201
0.700; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
0.700; Thermal sensor module; 0x21;;12301;;12300;;11902;;7402
0.700; Thermal sensor module; 0x22;;18500;;15103;;16003;;1903
0.750; Dynamics module data; 0x11;;0;;101;;0;;1
0.750; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
0.750; Thermal sensor module; 0x21;;701;;25401;;11901;;7300
0.750; Thermal sensor module; 0x22;;5503;;21402;;1302;;10202
0.800; Dynamics module data; 0x11;;0;;22301;;0;;12401
0.800; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
0.800; Thermal sensor module; 0x21;;14301;;8303;;13402;;18903
0.800; Thermal sensor module; 0x22;;7801;;17800;;1603;;17602
0.850; Dynamics module data; 0x11;;0;;6800;;0;;17801
0.850; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
0.850; Thermal sensor module; 0x21;;12802;;21400;;23200;;19801
0.850; Thermal sensor module; 0x22;;17200;;15303;;15002;;22701
0.900; Dynamics module data; 0x11;;0;;23201;;0;;5401
0.900; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
0.900; Thermal sensor module; 0x21;;15103;;16501;;3400;;19001
0.900; Thermal sensor module; 0x22;;7701;;9401;;4300;;703
0.950; Dynamics module data; 0x11;;0;;24400;;0;;6500
0.950; Dynamics module sensor errors; 0x12;;0;;100;;0;;0
0.950; Thermal sensor module; 0x21;;21802;;25002;;5801;;11000
0.950; Thermal sensor module; 0x22;;23103;;18602;;1302;;20403
1.000; Dynamics module data; 0x11;;0;;6800;;0;;16201
